PDBID,Total MC,Total SD,Control
1VVJ,0.133333333,0.866666667,1
1VY4,0.421052632,0.578947368,1
1VY5,0.411764706,0.588235294,1
1VY6,0.357142857,0.642857143,1
1VY7,0.388888889,0.611111111,1
3J6B,0.169073406,0.830926594,1
3J6X,0.393364929,0.606635071,1
3J6Y,0.369923161,0.630076839,1
3J77,0.402085747,0.597914253,1
3J78,0.387096774,0.612903226,1
3J79,0.426267281,0.573732719,1
3J7O,0.432852386,0.567147614,1
3J7P,0.42688172,0.57311828,1
3J7Q,0.432044199,0.567955801,1
3J7R,0.427341227,0.572658773,1
3J92,0.421538462,0.578461538,1
3J9M,0.354092527,0.645907473,1
3J9W,0.333333333,0.666666667,1
3J9Y,0.455631399,0.544368601,1
3J9Z,0.434782609,0.565217391,1
3JA1,0.375,0.625,1
3JAG,0.419174248,0.580825752,1
3JAH,0.428472222,0.571527778,1
3JAI,0.427402863,0.572597137,1
3JAJ,0.434042553,0.565957447,1
03-Jan,0.438166311,0.561833689,1
3JBN,0.521628499,0.478371501,1
3JBO,0.510416667,0.489583333,1
3JBP,0.51951952,0.48048048,1
3JBU,0.474272931,0.525727069,1
3JBV,0.497568882,0.502431118,1
3JCD,0.450381679,0.549618321,1
3JCE,0.440068493,0.559931507,1
3JCJ,0.423954373,0.576045627,1
3JCN,0.465277778,0.534722222,1
3JCS,0.428020566,0.571979434,1
3JCT,0.364793213,0.635206787,1
4BTS,0.333333333,0.666666667,1
4D5Y,0.391251519,0.608748481,1
4D67,0.391251519,0.608748481,1
4L47,0.25,0.75,1
4L71,0.142857143,0.857142857,1
4LEL,0.2,0.8,1
4LFZ,0.133333333,0.866666667,1
4LNT,0.133333333,0.866666667,1
4LSK,0.277777778,0.722222222,1
4LT8,0.277777778,0.722222222,1
4P6F,0.2,0.8,1
4P70,0.125,0.875,1
4TUA,0.133333333,0.866666667,1
4TUB,0.0625,0.9375,1
4TUC,0.142857143,0.857142857,1
4TUD,0,1,1
4TUE,0.083333333,0.916666667,1
4TVX,0.203278689,0.796721311,1
4U1U,0.35,0.65,1
4U1V,0.35,0.65,1
4U20,0.421052632,0.578947368,1
4U24,0.333333333,0.666666667,1
4U25,0.428571429,0.571428571,1
4U26,0.411764706,0.588235294,1
4U27,0.411764706,0.588235294,1
4U3M,0.444838595,0.555161405,1
4U3N,0.444596443,0.555403557,1
4U3U,0.443360056,0.556639944,1
4U4N,0.433208063,0.566791937,1
4U4O,0.433191187,0.566808813,1
4U4Q,0.43877905,0.56122095,1
4U4R,0.444558522,0.555441478,1
4U4U,0.448335645,0.551664355,1
4U4Y,0.438843849,0.561156151,1
4U4Z,0.433871522,0.566128478,1
4U50,0.438213566,0.561786434,1
4U51,0.444367895,0.555632105,1
4U52,0.439336329,0.560663671,1
4U53,0.437047258,0.562952742,1
4U55,0.443793103,0.556206897,1
4U56,0.44561774,0.55438226,1
4U6F,0.443595974,0.556404026,1
4UG0,0.272727273,0.727272727,1
4UJC,0.370669746,0.629330254,1
4UJD,0.196721311,0.803278689,1
4UJE,0.37366548,0.62633452,1
4V3P,0.467532468,0.532467532,1
4V49,0.4,0.6,1
4V4A,0.25,0.75,1
4V4B,0.375,0.625,1
4V4G,0.510638298,0.489361702,1
4V4H,0.428571429,0.571428571,1
4V4I,0.355263158,0.644736842,1
4V4J,0.377403846,0.622596154,1
4V4N,0,1,1
4V4P,0,1,1
4V4Q,0.428571429,0.571428571,1
4V4R,0.166666667,0.833333333,1
4V4S,0.166666667,0.833333333,1
4V4T,0.25,0.75,1
4V4V,0,1,1
4V4W,0.285714286,0.714285714,1
4V4X,0.375,0.625,1
4V4Y,0.333333333,0.666666667,1
4V4Z,0.333333333,0.666666667,1
4V50,0.1,0.9,1
4V51,0.19047619,0.80952381,1
4V52,0,1,1
4V53,0,1,1
4V54,0,1,1
4V55,0,1,1
4V56,0,1,1
4V57,0,1,1
4V5A,0.25,0.75,1
4V5B,0.666666667,0.333333333,1
4V5C,0.466666667,0.533333333,1
4V5D,0.333333333,0.666666667,1
4V5E,0.340425532,0.659574468,1
4V5F,0.166666667,0.833333333,1
4V5G,0.173913043,0.826086957,1
4V5H,0.25,0.75,1
4V5J,0.306122449,0.693877551,1
4V5K,0.269230769,0.730769231,1
4V5L,0.416666667,0.583333333,1
4V5M,0,1,1
4V5N,0,1,1
4V5O,0.153846154,0.846153846,1
4V5P,0.277777778,0.722222222,1
4V5Q,0.333333333,0.666666667,1
4V5R,0.277777778,0.722222222,1
4V5S,0.25,0.75,1
4V5Y,0,1,1
4V61,0.307692308,0.692307692,1
4V63,0.387755102,0.612244898,1
4V64,0,1,1
4V65,0.545454545,0.454545455,1
4V66,0.571428571,0.428571429,1
4V67,0.34,0.66,1
4V68,0.125,0.875,1
4V69,0.25,0.75,1
4V6A,0.470588235,0.529411765,1
4V6C,0,1,1
4V6D,0,1,1
4V6E,0.2,0.8,1
4V6F,0.24,0.76,1
4V6G,0.25,0.75,1
4V6I,0.404657933,0.595342067,1
4V6K,0.3125,0.6875,1
4V6L,0.333333333,0.666666667,1
4V6M,0.24,0.76,1
4V6N,0.263157895,0.736842105,1
4V6O,0.352941176,0.647058824,1
4V6P,0.315789474,0.684210526,1
4V6Q,0.533333333,0.466666667,1
4V6R,0.526315789,0.473684211,1
4V6S,0.307692308,0.692307692,1
4V6T,0.659090909,0.340909091,1
4V6U,0.25,0.75,1
4V6V,0.314285714,0.685714286,1
4V6W,0.343272727,0.656727273,1
4V6X,0.387735849,0.612264151,1
4V6Y,0.142857143,0.857142857,1
4V6Z,0,1,1
4V70,0.142857143,0.857142857,1
4V71,0.25,0.75,1
4V72,0.090909091,0.909090909,1
4V73,0,1,1
4V74,0,1,1
4V75,0.2,0.8,1
4V76,0.142857143,0.857142857,1
4V77,0.4,0.6,1
4V78,0,1,1
4V79,0,1,1
4V7A,0.25,0.75,1
4V7B,0,1,1
4V7C,0.333333333,0.666666667,1
4V7D,0.2,0.8,1
4V7E,0.329619313,0.670380687,1
4V7H,0.710526316,0.289473684,1
4V7I,0.166666667,0.833333333,1
4V7L,0.421052632,0.578947368,1
4V7M,0.294117647,0.705882353,1
4V7P,0.379310345,0.620689655,1
4V7R,0.5,0.5,1
4V7S,0,1,1
4V7T,0,1,1
4V7U,0,1,1
4V7V,0,1,1
4V7W,0.363636364,0.636363636,1
4V7X,0.454545455,0.545454545,1
4V7Y,0.454545455,0.545454545,1
4V7Z,0.166666667,0.833333333,1
5IT8,0.333333333,0.666666667,1
