PDBID,HBOND_LIG_SC,HBOND:LIG_MC,HBOND:SC_LIG,HBOND:MC_LIG,VDW:LIG_SC,VDW:LIG_MC,VDW:SC_LIG,VDW:MC_LIG,HBOND_LIG_SC2 normal,HBOND:LIG_MC3 normal,HBOND:SC_LIG4 normal,HBOND:MC_LIG5 normal,VDW:LIG_SC6 normal,VDW:LIG_MC7 normal,VDW:SC_LIG8 normal,VDW:MC_LIG9 normal
1VVJ,0,2,0,0,11,0,2,0,0,0.133333333,0,0,0.733333333,0,0.133333333,0
1VY4,0,6,0,0,9,0,2,2,0,0.315789474,0,0,0.473684211,0,0.105263158,0.105263158
1VY5,0,5,0,0,8,0,2,2,0,0.294117647,0,0,0.470588235,0,0.117647059,0.117647059
1VY6,0,4,0,0,7,0,2,1,0,0.285714286,0,0,0.5,0,0.142857143,0.071428571
1VY7,0,6,0,0,8,0,3,1,0,0.333333333,0,0,0.444444444,0,0.166666667,0.055555556
3J6B,820,225,134,32,347,20,80,4,0.493381468,0.135379061,0.080625752,0.019253911,0.208784597,0.012033694,0.048134777,0.002406739
3J6X,0,280,0,12,497,40,15,0,0,0.331753555,0,0.014218009,0.588862559,0.047393365,0.017772512,0
3J6Y,0,295,0,11,555,30,19,1,0,0.323819978,0,0.012074643,0.609220637,0.032930845,0.020856202,0.001097695
3J77,0,307,0,5,505,35,11,0,0,0.355735805,0,0.005793743,0.585168019,0.040556199,0.012746234,0
3J78,0,298,0,5,521,33,11,0,0,0.343317972,0,0.005760369,0.600230415,0.038018433,0.012672811,0
3J79,0,309,0,45,413,14,85,2,0,0.355990783,0,0.051843318,0.475806452,0.016129032,0.097926267,0.002304147
3J7O,0,362,0,0,511,28,0,0,0,0.401775805,0,0,0.567147614,0.031076582,0,0
3J7P,0,368,0,0,529,28,4,1,0,0.395698925,0,0,0.568817204,0.030107527,0.004301075,0.001075269
3J7Q,0,362,0,1,512,28,2,0,0,0.4,0,0.001104972,0.565745856,0.030939227,0.002209945,0
3J7R,0,368,0,1,528,28,4,0,0,0.396124865,0,0.001076426,0.568353068,0.030139935,0.004305705,0
3J92,0,391,0,0,553,19,11,1,0,0.401025641,0,0,0.567179487,0.019487179,0.011282051,0.001025641
