PDBID,Total HBOND,Total VDW,Control
1VVJ,0.133333333,0.866666667,1
1VY4,0.315789474,0.684210526,1
1VY5,0.294117647,0.705882353,1
1VY6,0.285714286,0.714285714,1
1VY7,0.333333333,0.666666667,1
3J6B,0.728640193,0.271359807,1
3J6X,0.345971564,0.654028436,1
3J6Y,0.335894621,0.664105379,1
3J77,0.361529548,0.638470452,1
3J78,0.349078341,0.650921659,1
3J79,0.407834101,0.592165899,1
3J7O,0.401775805,0.598224195,1
3J7P,0.395698925,0.604301075,1
3J7Q,0.401104972,0.598895028,1
3J7R,0.397201292,0.602798708,1
3J92,0.401025641,0.598974359,1
3J9M,0.329181495,0.670818505,1
3J9W,0.333333333,0.666666667,1
3J9Y,0.43003413,0.56996587,1
3J9Z,0.347826087,0.652173913,1
3JA1,0.1875,0.8125,1
3JAG,0.392582225,0.607417775,1
3JAH,0.4,0.6,1
3JAI,0.398091343,0.601908657,1
3JAJ,0.392553191,0.607446809,1
03-Jan,0.39445629,0.60554371,1
3JBN,0.480916031,0.519083969,1
3JBO,0.471354167,0.528645833,1
3JBP,0.492492492,0.507507508,1
3JBU,0.427293065,0.572706935,1
3JBV,0.416531605,0.583468395,1
3JCD,0.416030534,0.583969466,1
3JCE,0.417808219,0.582191781,1
3JCJ,0.395437262,0.604562738,1
3JCN,0.4375,0.5625,1
3JCS,0.395886889,0.604113111,1
3JCT,0.335100742,0.664899258,1
4BTS,0.222222222,0.777777778,1
4D5Y,0.335358445,0.664641555,1
4D67,0.335358445,0.664641555,1
4L47,0.125,0.875,1
4L71,0.071428571,0.928571429,1
4LEL,0.133333333,0.866666667,1
4LFZ,0.133333333,0.866666667,1
4LNT,0,1,1
4LSK,0.111111111,0.888888889,1
4LT8,0.111111111,0.888888889,1
4P6F,0.12,0.88,1
4P70,0.0625,0.9375,1
4TUA,0.066666667,0.933333333,1
4TUB,0,1,1
4TUC,0.142857143,0.857142857,1
4TUD,0,1,1
4TUE,0.083333333,0.916666667,1
4TVX,0.593442623,0.406557377,1
4U1U,0.3,0.7,1
4U1V,0.25,0.75,1
4U20,0.315789474,0.684210526,1
4U24,0.222222222,0.777777778,1
4U25,0.333333333,0.666666667,1
4U26,0.294117647,0.705882353,1
4U27,0.352941176,0.647058824,1
4U3M,0.408300816,0.591699184,1
4U3N,0.408686731,0.591313269,1
4U3U,0.412338794,0.587661206,1
4U4N,0.397335155,0.602664845,1
4U4O,0.393745558,0.606254442,1
4U4Q,0.403746098,0.596253902,1
4U4R,0.411704312,0.588295688,1
4U4U,0.410540915,0.589459085,1
4U4Y,0.405710257,0.594289743,1
4U4Z,0.398144967,0.601855033,1
4U50,0.404633983,0.595366017,1
4U51,0.407509473,0.592490527,1
4U52,0.404770135,0.595229865,1
4U53,0.40393239,0.59606761,1
4U55,0.407241379,0.592758621,1
4U56,0.411122844,0.588877156,1
4U6F,0.407844498,0.592155502,1
4UG0,0.181818182,0.818181818,1
4UJC,0.309468822,0.690531178,1
4UJD,0.081967213,0.918032787,1
4UJE,0.310794781,0.689205219,1
4V3P,0.311688312,0.688311688,1
4V49,0.2,0.8,1
4V4A,0.125,0.875,1
4V4B,0.25,0.75,1
4V4G,0.212765957,0.787234043,1
4V4H,0.428571429,0.571428571,1
4V4I,0.289473684,0.710526316,1
